sample_id,date
sample1,2025-01-01
sample2,2025-01-07
sample3,2025-01-13
sample4,2025-01-19
sample5,2025-01-25
sample6,2025-01-31
sample7,2025-02-06
sample8,2025-02-12
sample9,2025-02-18
sample10,2025-02-24
sample11,2025-03-02
sample12,2025-03-08
sample13,2025-03-14
sample14,2025-03-20
sample15,2025-03-26
sample16,2025-04-01
sample17,2025-04-07
sample18,2025-04-13
sample19,2025-04-19
sample20,2025-04-25
sample21,2025-05-01
sample22,2025-05-07
sample23,2025-05-13
sample24,2025-05-19
sample25,2025-05-25
sample26,2025-05-31
sample27,2025-06-06
sample28,2025-06-12
sample29,2025-06-18
sample30,2025-06-24